SA2 name,Population density 2020
Delahey,2495.2
Keilor Downs,1784.5
Kings Park (Vic.),3282.7
St Albans - North,3315.3
St Albans - South,2937.6
Sunshine,2232.2
Sunshine North,1561
Sunshine West,1558.1
Sydenham,3200.2
Taylors Lakes,980.1
Altona,800.9
Altona Meadows,1930.9
Altona North,963.5
Newport,2240.9
Seabrook,3332.9
Williamstown,2366.9
Braybrook,2794.4
Footscray,3941.8
Maribyrnong,2630.4
Seddon - Kingsville,6038.8
West Footscray - Tottenham,2185.7
Yarraville,2993
Bacchus Marsh,121
Hillside,389
Melton,158.4
Melton South,301.8
Melton West,881.3
Rockbank - Mount Cottrell,90.5
Taylors Hill,3573.5
Burnside,2172.4
Burnside Heights,3357.9
Caroline Springs,3161.3
Hoppers Crossing - North,1841.9
Hoppers Crossing - South,2926.2
Laverton,539.7
Tarneit,802.9
Truganina,1318.5
Werribee - South,133.4
Wyndham Vale,242.1
Point Cook - East,999.4
Point Cook - North,3013.1
Point Cook - South,2130.5
Werribee - East,2693.7
Werribee - West,145.7
Carrum Downs,1108.2
Frankston,2086.1
Frankston North,1502.8
Frankston South,1321.8
Langwarrin,678.9
Seaford (Vic.),1422.8
Skye - Sandhurst,717.4
Dromana,286.3
Flinders,19.7
Hastings - Somers,217.8
Mornington,1246.5
Mount Eliza,828.8
Mount Martha,665.6
Point Nepean,283.2
Rosebud - McCrae,944.5
Somerville,165.7
Ararat,52.9
Ararat Region,0.8
Horsham,201.5
Horsham Region,0.8
Nhill Region,0.6
St Arnaud,1.1
Stawell,2.9
West Wimmera,0.5
Yarriambiack,0.9
Irymple,83.2
Merbein,47.7
Mildura Region,0.2
Red Cliffs,24.3
Mildura - North,744.1
Mildura - South,298.6
Buloke,0.8
Gannawarra,1.8
Kerang,26
Robinvale,18.2
Swan Hill,87.3
Swan Hill Region,1.1
Echuca,81.7
